ticket_number,date,time,article,Quantity,unit_price_euro
150676,2021-01-05,12:39,TRADITIONAL BAGUETTE,1,1.20
150679,2021-01-05,12:46,FORMULE SANDWICH,3,6.50
150681,2021-01-05,12:48,BRIOCHE,1,5.00
150682,2021-01-05,12:54,TRADITIONAL BAGUETTE,1,1.20
150684,2021-01-05,12:59,COUPE,1,0.15
150684,2021-01-05,12:59,SPECIAL BREAD,1,2.40
150686,2021-01-05,13:02,DIVERS SANDWICHS,1,5.00
150688,2021-01-05,13:03,TRADITIONAL BAGUETTE,1,1.20
150690,2021-01-05,13:05,SANDWICH COMPLET,1,4.50
150690,2021-01-05,13:05,BOISSON 33CL,1,1.50
150691,2021-01-05,13:07,PAIN BANETTE,1,1.40
150692,2021-01-05,13:09,CAMPAGNE,1,1.80
150694,2021-01-05,13:12,SPECIAL BREAD,1,2.40
150696,2021-01-05,13:14,SPECIAL BREAD,1,2.40
150696,2021-01-05,13:14,DIVERS PATISSERIE,1,4.00
150697,2021-01-05,13:22,FORMULE SANDWICH,1,6.50
150699,2021-01-05,13:30,BANETTE,1,1.05
150700,2021-01-05,13:35,TRADITIONAL BAGUETTE,1,1.20
150702,2021-01-05,13:42,DIVERS SANDWICHS,1,2.50
150702,2021-01-05,13:42,MOISSON,1,2.00
150702,2021-01-05,13:42,FORMULE SANDWICH,2,6.50
150703,2021-01-05,13:44,TRADITIONAL BAGUETTE,2,1.20
150704,2021-01-05,13:44,CEREAL BAGUETTE,1,1.25
150705,2021-01-05,13:44,TRADITIONAL BAGUETTE,2,1.20
150706,2021-01-05,13:47,FORMULE SANDWICH,1,6.50
150708,2021-01-05,13:50,FORMULE SANDWICH,1,6.50
150709,2021-01-05,13:51,TRADITIONAL BAGUETTE,4,1.20
150711,2021-01-05,13:59,FORMULE SANDWICH,1,6.50
150713,2021-01-05,14:05,SANDWICH COMPLET,2,4.50
150714,2021-01-05,14:05,TRADITIONAL BAGUETTE,1,1.20
150715,2021-01-05,17:29,TRADITIONAL BAGUETTE,1,1.20
150719,2021-01-05,17:45,QUIM BREAD,1,1.00
150725,2021-01-05,17:59,COMPLET,1,1.50
150725,2021-01-05,17:59,COUPE,2,0.15
150726,2021-01-05,18:02,PAIN AU CHOCOLAT,1,1.20
150729,2021-01-05,18:19,TRADITIONAL BAGUETTE,1,1.20
150731,2021-01-05,18:28,BANETTE,1,1.05
150732,2021-01-05,18:29,TRADITIONAL BAGUETTE,2,1.20
150735,2021-01-05,18:49,TRADITIONAL BAGUETTE,1,1.20
150736,2021-01-05,18:51,TRADITIONAL BAGUETTE,1,1.20
150737,2021-01-05,18:58,SPECIAL BREAD,1,2.40
150738,2021-01-05,19:00,DIVERS PATISSERIE,-1,6.00
150738,2021-01-05,19:00,DIVERS BOULANGERIE,-1,2.00
150738,2021-01-05,19:00,SPECIAL BREAD,-1,2.40
150741,2021-01-05,19:04,TRADITIONAL BAGUETTE,1,1.20
150742,2021-01-05,19:08,CEREAL BAGUETTE,1,1.25
150745,2021-01-05,19:22,PAIN CHOCO AMANDES,2,1.50
150745,2021-01-05,19:22,TRADITIONAL BAGUETTE,1,1.20
150745,2021-01-05,19:22,PAIN AUX RAISINS,2,1.40
150746,2021-01-05,19:25,BOULE 200G,2,1.10
150746,2021-01-05,19:25,COUPE,2,0.15
150748,2021-01-05,19:32,TRADITIONAL BAGUETTE,2,1.20
150749,2021-01-05,19:36,BAGUETTE,1,0.90
150750,2021-01-05,19:41,MOISSON,1,2.00
150753,2021-01-07,8:36,CROISSANT,2,1.10
150754,2021-01-07,8:57,CAFE OU EAU,1,1.00
150755,2021-01-07,9:02,TRADITIONAL BAGUETTE,1,1.20
150756,2021-01-07,9:13,BAGUETTE,1,0.90
150758,2021-01-07,9:19,TRADITIONAL BAGUETTE,1,1.20
150758,2021-01-07,9:19,CROISSANT AMANDES,1,1.40
150759,2021-01-07,9:20,BAGUETTE,1,0.90
150759,2021-01-07,9:20,BOULE 400G,1,1.50
150760,2021-01-07,9:43,PAIN,2,1.15
150761,2021-01-07,9:49,COUPE,2,0.15
150761,2021-01-07,9:49,BOULE 200G,1,1.10
150761,2021-01-07,9:49,PAIN AUX RAISINS,2,1.40
150764,2021-01-07,10:18,TRADITIONAL BAGUETTE,4,1.20
150765,2021-01-07,10:22,CAFE OU EAU,1,1.00
150768,2021-01-07,10:31,TRADITIONAL BAGUETTE,1,1.20
150769,2021-01-07,10:31,BAGUETTE,2,0.90
150770,2021-01-07,10:34,TRADITIONAL BAGUETTE,7,1.20
150771,2021-01-07,10:35,PAIN,1,1.15
150774,2021-01-07,10:45,DIVERS SANDWICHS,1,2.50
150774,2021-01-07,10:45,CAFE OU EAU,1,1.00
150776,2021-01-07,10:55,TRADITIONAL BAGUETTE,1,1.20
150777,2021-01-07,11:01,DIVERS CONFISERIE,1,3.00
150778,2021-01-07,11:06,GAL FRANGIPANE 6P,1,12.00
150778,2021-01-07,11:06,COUPE,3,0.15
150778,2021-01-07,11:06,BOULE 200G,3,1.10
150779,2021-01-07,11:07,TRADITIONAL BAGUETTE,2,1.20
150780,2021-01-07,11:10,TRADITIONAL BAGUETTE,2,1.20
150782,2021-01-07,11:15,GAL POMME 4P,1,8.00
150782,2021-01-07,11:15,TRADITIONAL BAGUETTE,1,1.20
150782,2021-01-07,11:15,COUPE,3,0.15
150785,2021-01-07,11:28,MOISSON,1,2.00
150785,2021-01-07,11:28,COUPE,1,0.15
150787,2021-01-07,11:29,BAGUETTE,1,0.90
150789,2021-01-07,11:30,GAL FRANGIPANE 4P,1,8.00
150790,2021-01-07,11:34,PAIN AU CHOCOLAT,1,1.20
150797,2021-01-07,11:46,BAGUETTE,1,0.90
150799,2021-01-07,11:53,CEREAL BAGUETTE,2,1.25
150800,2021-01-07,11:53,SPECIAL BREAD KG,1,4.80
150800,2021-01-07,11:53,BAGUETTE,1,0.90
150801,2021-01-07,11:54,GAL FRANGIPANE 4P,1,8.00
150801,2021-01-07,11:54,BAGUETTE,1,0.90
150803,2021-01-07,11:55,BANETTE,1,1.05
150804,2021-01-07,11:56,BAGUETTE,1,0.90
150808,2021-01-07,12:00,BANETTE,2,1.05
150810,2021-01-07,12:01,CAMPAGNE,2,1.80
150810,2021-01-07,12:01,COUPE,2,0.15
150810,2021-01-07,12:01,BAGUETTE,1,0.90
150819,2021-01-07,12:25,DEMI BAGUETTE,1,0.45
150824,2021-01-07,12:36,TRADITIONAL BAGUETTE,4,1.20
150825,2021-01-07,12:36,BAGUETTE,1,0.90
150826,2021-01-07,12:37,MOISSON,1,2.00
150826,2021-01-07,12:37,COUPE,1,0.15
150827,2021-01-07,12:38,TRADITIONAL BAGUETTE,3,1.20
150828,2021-01-07,12:38,BANETTE,1,1.05
150830,2021-01-07,12:40,PAIN CHOCO AMANDES,1,1.50
150834,2021-01-07,12:42,TRADITIONAL BAGUETTE,1,1.20
150836,2021-01-07,12:46,TRADITIONAL BAGUETTE,1,1.20
150840,2021-01-07,12:52,TRADITIONAL BAGUETTE,1,1.20
150842,2021-01-07,12:54,COUPE,1,0.15
150842,2021-01-07,12:54,SPECIAL BREAD,1,2.40
150845,2021-01-07,12:58,DIVERS SANDWICHS,1,2.50
150846,2021-01-07,13:00,TRADITIONAL BAGUETTE,1,1.20
150847,2021-01-07,13:00,TRADITIONAL BAGUETTE,1,1.20
150848,2021-01-07,13:02,FORMULE SANDWICH,2,6.50
150851,2021-01-07,13:08,TRADITIONAL BAGUETTE,1,1.20
150853,2021-01-07,13:09,TRADITIONAL BAGUETTE,2,1.20
150855,2021-01-07,13:10,TRADITIONAL BAGUETTE,3,1.20
150856,2021-01-07,13:12,FORMULE SANDWICH,1,6.50
150858,2021-01-07,13:16,FORMULE SANDWICH,1,6.50
150859,2021-01-07,13:18,COUPE,1,0.15
150859,2021-01-07,13:18,SPECIAL BREAD,2,2.40
150862,2021-01-07,13:19,CROISSANT AMANDES,1,1.40
150862,2021-01-07,13:19,TRADITIONAL BAGUETTE,1,1.20
150864,2021-01-07,13:21,CROISSANT AMANDES,1,1.40
150865,2021-01-07,13:22,TRADITIONAL BAGUETTE,2,1.20
150866,2021-01-07,13:24,BAGUETTE,1,0.90
150867,2021-01-07,13:24,BAGUETTE,1,0.90
150868,2021-01-07,13:30,SEIGLE,1,1.80
150871,2021-01-07,13:32,BANETTE,1,1.05
150874,2021-01-07,13:52,COUPE,1,0.15
150874,2021-01-07,13:52,TRADITIONAL BAGUETTE,1,1.20
150874,2021-01-07,13:52,COMPLET,1,1.50
150875,2021-01-07,13:54,TRADITIONAL BAGUETTE,2,1.20
150881,2021-01-07,18:09,DIVERS VIENNOISERIE,1,6.00
150882,2021-01-07,18:10,BAGUETTE,1,0.90
150885,2021-01-07,18:23,GAL FRANGIPANE 6P,1,12.00
150885,2021-01-07,18:23,TRADITIONAL BAGUETTE,1,1.20
150887,2021-01-07,18:31,TRADITIONAL BAGUETTE,4,1.20
150888,2021-01-07,18:33,TRADITIONAL BAGUETTE,1,1.20
150890,2021-01-07,18:49,PAIN AU CHOCOLAT,1,1.20
150890,2021-01-07,18:49,TRADITIONAL BAGUETTE,1,1.20
150890,2021-01-07,18:49,PAIN AUX RAISINS,1,1.40
150893,2021-01-07,19:06,CEREAL BAGUETTE,1,1.25
150894,2021-01-07,19:14,TRADITIONAL BAGUETTE,1,1.20
150894,2021-01-07,19:14,SPECIAL BREAD,1,2.40
150898,2021-01-07,19:39,TRADITIONAL BAGUETTE,3,1.20
150901,2021-01-08,8:35,TRADITIONAL BAGUETTE,1,1.20
150902,2021-01-08,8:41,CROISSANT,3,1.10
150903,2021-01-08,8:44,PAIN AU CHOCOLAT,1,1.20
150904,2021-01-08,8:52,CROISSANT,10,1.10
150905,2021-01-08,8:57,PAIN AU CHOCOLAT,1,1.20
150906,2021-01-08,8:58,BAGUETTE,1,0.90
150907,2021-01-08,8:59,BAGUETTE,1,0.90
150907,2021-01-08,8:59,CROISSANT,1,1.10
150908,2021-01-08,9:03,BANETTE,1,1.05
150909,2021-01-08,9:05,TRADITIONAL BAGUETTE,1,1.20
150911,2021-01-08,9:23,BANETTE,1,1.05
150913,2021-01-08,9:32,PAIN AUX RAISINS,2,1.40
150914,2021-01-08,9:40,DIVERS SANDWICHS,1,5.00
150914,2021-01-08,9:40,QUIM BREAD,1,1.00
150916,2021-01-08,9:55,BAGUETTE,1,0.90
150917,2021-01-08,9:57,PAIN AU CHOCOLAT,2,1.20
150918,2021-01-08,10:04,TRADITIONAL BAGUETTE,1,1.20
150919,2021-01-08,10:26,TRADITIONAL BAGUETTE,1,1.20
150919,2021-01-08,10:26,BANETTINE,1,0.60
150921,2021-01-08,10:42,QUIM BREAD,1,1.00
150922,2021-01-08,10:46,TRADITIONAL BAGUETTE,1,1.20
150923,2021-01-08,10:59,MOISSON,1,2.00
150923,2021-01-08,10:59,TRADITIONAL BAGUETTE,1,1.20
150924,2021-01-08,11:02,CROISSANT,2,1.10
150924,2021-01-08,11:02,PAIN AU CHOCOLAT,2,1.20
150925,2021-01-08,11:09,BAGUETTE,1,0.90
150927,2021-01-08,11:14,SEIGLE,1,1.80
150927,2021-01-08,11:14,TRADITIONAL BAGUETTE,1,1.20
150929,2021-01-08,11:21,COUPE,1,0.15
150930,2021-01-08,11:26,BANETTE,2,1.05
150932,2021-01-08,11:35,PAIN AUX RAISINS,1,1.40
150933,2021-01-08,11:36,BAGUETTE,1,0.90
150934,2021-01-08,11:38,PAIN BANETTE,1,1.40
150935,2021-01-08,11:39,COUPE,1,0.15
150940,2021-01-08,11:57,PAIN AU CHOCOLAT,2,1.20
150941,2021-01-08,11:58,COUPE,-1,0.15
150941,2021-01-08,11:58,BOULE 400G,-1,1.50
150941,2021-01-08,11:58,CROISSANT,-4,1.10
150942,2021-01-08,12:01,COUPE,2,0.15
150942,2021-01-08,12:01,COMPLET,2,1.50
150944,2021-01-08,12:03,COUPE,1,0.15
150944,2021-01-08,12:03,BOULE 400G,1,1.50
150946,2021-01-08,12:04,COUPE,1,0.15
150946,2021-01-08,12:04,COMPLET,1,1.50
150947,2021-01-08,12:07,BANETTE,1,1.05
150947,2021-01-08,12:07,BANETTINE,1,0.60
150948,2021-01-08,12:07,GAL FRANGIPANE 6P,1,12.00
150951,2021-01-08,12:12,BOULE 400G,1,1.50
150951,2021-01-08,12:12,PAIN AU CHOCOLAT,2,1.20
150951,2021-01-08,12:12,CROISSANT,4,1.10
150952,2021-01-08,12:14,SEIGLE,1,1.80
150955,2021-01-08,12:17,DEMI BAGUETTE,1,0.45
150956,2021-01-08,12:18,TRADITIONAL BAGUETTE,6,1.20
150957,2021-01-08,12:19,TRADITIONAL BAGUETTE,3,1.20
150958,2021-01-08,12:21,TRADITIONAL BAGUETTE,1,1.20
150959,2021-01-08,12:23,PAIN AU CHOCOLAT,2,1.20
150959,2021-01-08,12:23,COMPLET,2,1.50
150959,2021-01-08,12:23,CROISSANT,4,1.10
150960,2021-01-08,12:26,MOISSON,1,2.00
150960,2021-01-08,12:26,COUPE,1,0.15
150961,2021-01-08,12:26,GAL POMME 4P,1,8.00
150962,2021-01-08,12:28,CROISSANT,4,1.10
150962,2021-01-08,12:28,PAIN AU CHOCOLAT,4,1.20
150962,2021-01-08,12:28,BRIOCHE,1,5.00
150963,2021-01-08,12:28,TRADITIONAL BAGUETTE,1,1.20
150964,2021-01-08,12:28,TRADITIONAL BAGUETTE,1,1.20
150967,2021-01-08,12:33,TRADITIONAL BAGUETTE,1,1.20
150968,2021-01-08,12:33,PAIN,1,1.15
150975,2021-01-08,12:45,PAIN AU CHOCOLAT,3,1.20
150980,2021-01-08,12:50,MOISSON,2,2.00
150981,2021-01-08,12:51,CEREAL BAGUETTE,2,1.25
150981,2021-01-08,12:51,BOULE POLKA,2,1.60
150981,2021-01-08,12:51,BANETTE,2,1.05
150982,2021-01-08,12:53,PAIN BANETTE,1,1.40
150983,2021-01-08,12:56,SANDWICH COMPLET,1,4.50
150983,2021-01-08,12:56,FORMULE SANDWICH,1,6.50
150984,2021-01-08,13:00,COUPE,1,0.15
150984,2021-01-08,13:00,QUIM BREAD,1,1.00
150984,2021-01-08,13:00,GAL POMME 4P,1,8.00
150984,2021-01-08,13:00,DIVERS VIENNOISERIE,1,6.00
150984,2021-01-08,13:00,BAGUETTE,2,0.90
150986,2021-01-08,13:02,CEREAL BAGUETTE,1,1.25
150987,2021-01-08,13:03,GAL FRANGIPANE 4P,1,8.00
150987,2021-01-08,13:03,BANETTINE,2,0.60
150988,2021-01-08,13:04,TRADITIONAL BAGUETTE,1,1.20
150989,2021-01-08,13:05,TRADITIONAL BAGUETTE,1,1.20
150990,2021-01-08,13:06,BOULE 200G,1,1.10
150990,2021-01-08,13:06,COUPE,1,0.15
150990,2021-01-08,13:06,FICELLE,1,0.60
150991,2021-01-08,13:09,TRADITIONAL BAGUETTE,1,1.20
150991,2021-01-08,13:09,CAMPAGNE,1,1.80
150993,2021-01-08,13:14,FORMULE SANDWICH,1,6.50
150994,2021-01-08,13:15,SANDWICH COMPLET,1,4.50
150996,2021-01-08,13:16,BANETTE,1,1.05
151001,2021-01-08,13:28,TRADITIONAL BAGUETTE,1,1.20
151003,2021-01-08,13:31,DIVERS VIENNOISERIE,1,4.00
151004,2021-01-08,13:35,QUIM BREAD,1,1.00
151005,2021-01-08,13:39,SANDWICH COMPLET,2,4.50
151007,2021-01-08,13:42,TRADITIONAL BAGUETTE,2,1.20
151009,2021-01-08,13:47,COOKIE,2,1.00
151009,2021-01-08,13:47,SANDWICH COMPLET,1,4.50
151009,2021-01-08,13:47,TRADITIONAL BAGUETTE,1,1.20
151009,2021-01-08,13:47,FORMULE SANDWICH,1,6.50
151010,2021-01-08,13:56,SANDWICH COMPLET,1,4.50
151011,2021-01-08,13:57,KOUIGN AMANN,1,2.10
151013,2021-01-08,13:58,TRADITIONAL BAGUETTE,2,1.20
151016,2021-01-08,17:34,GAL POMME 6P,1,12.00
151016,2021-01-08,17:34,TRADITIONAL BAGUETTE,1,1.20
151016,2021-01-08,17:34,GAL FRANGIPANE 4P,1,8.00
151019,2021-01-08,17:37,MOISSON,1,2.00
151021,2021-01-08,17:49,COUPE,1,0.15
151021,2021-01-08,17:49,BOULE 400G,1,1.50
151023,2021-01-08,17:59,COUPE,1,0.15
151023,2021-01-08,17:59,VIK BREAD,1,2.50
151025,2021-01-08,18:13,TRADITIONAL BAGUETTE,2,1.20
151026,2021-01-08,18:22,BAGUETTE,1,0.90
151027,2021-01-08,18:23,BANETTINE,1,0.60
151027,2021-01-08,18:23,COOKIE,2,1.00
151027,2021-01-08,18:23,PAIN CHOCO AMANDES,1,1.50
151028,2021-01-08,18:26,COUPE,1,0.15
151029,2021-01-08,18:28,BOULE 200G,1,1.10
151031,2021-01-08,18:39,GAL POMME 4P,1,8.00
151033,2021-01-08,18:40,CAMPAGNE,1,1.80
151034,2021-01-08,18:48,TRADITIONAL BAGUETTE,1,1.20
151036,2021-01-08,18:49,PAIN CHOCO AMANDES,1,1.50
151037,2021-01-08,18:50,FONDANT CHOCOLAT,1,2.50
151044,2021-01-09,8:42,PAIN AU CHOCOLAT,1,1.20
151045,2021-01-09,9:04,PAIN AU CHOCOLAT,2,1.20
151047,2021-01-09,9:07,MOISSON,1,2.00
151047,2021-01-09,9:07,BANETTE,1,1.05
151049,2021-01-09,9:11,TRADITIONAL BAGUETTE,1,1.20
151051,2021-01-09,9:41,DIVERS VIENNOISERIE,1,4.00
151052,2021-01-09,9:46,TRADITIONAL BAGUETTE,2,1.20
151052,2021-01-09,9:46,PAIN AU CHOCOLAT,1,1.20
151052,2021-01-09,9:46,CROISSANT,1,1.10
151054,2021-01-09,9:51,COUPE,1,0.15
151054,2021-01-09,9:51,CROISSANT,4,1.10
151055,2021-01-09,9:53,PAIN,1,1.15
151055,2021-01-09,9:53,BOULE 400G,1,1.50
151056,2021-01-09,9:57,BANETTINE,1,0.60
151056,2021-01-09,9:57,TRADITIONAL BAGUETTE,1,1.20
151059,2021-01-09,10:15,TRADITIONAL BAGUETTE,2,1.20
151059,2021-01-09,10:15,PAIN AU CHOCOLAT,7,1.20
151066,2021-01-09,10:33,PAIN,2,1.15
151068,2021-01-09,10:43,BANETTINE,2,0.60
151071,2021-01-09,10:52,TRADITIONAL BAGUETTE,2,1.20
151074,2021-01-09,10:58,TRADITIONAL BAGUETTE,1,1.20
151075,2021-01-09,11:00,PAIN AU CHOCOLAT,1,1.20
151077,2021-01-09,11:09,BANETTE,1,1.05
151078,2021-01-09,11:13,TRADITIONAL BAGUETTE,2,1.20
151078,2021-01-09,11:13,CAMPAGNE,1,1.80
151080,2021-01-09,11:19,TRADITIONAL BAGUETTE,1,1.20
151081,2021-01-09,11:20,BAGUETTE,2,0.90
151083,2021-01-09,11:22,BANETTINE,1,0.60
151084,2021-01-09,11:24,TRADITIONAL BAGUETTE,6,1.20
151091,2021-01-09,11:38,VIK BREAD,1,2.50
151091,2021-01-09,11:38,COUPE,1,0.15
151091,2021-01-09,11:38,CAMPAGNE,1,1.80
151092,2021-01-09,11:46,DIVERS VIENNOISERIE,3,4.00
151093,2021-01-09,11:47,COUPE,1,0.15
151096,2021-01-09,11:53,BAGUETTE,1,0.90
151098,2021-01-09,11:57,TRADITIONAL BAGUETTE,1,1.20
151099,2021-01-09,11:58,BANETTE,2,1.05
151100,2021-01-09,11:58,TRADITIONAL BAGUETTE,1,1.20
151102,2021-01-09,12:01,CEREAL BAGUETTE,2,1.25
151104,2021-01-09,12:03,SPECIAL BREAD KG,1,4.80
151105,2021-01-09,12:04,CEREAL BAGUETTE,2,1.25
151106,2021-01-09,12:05,CEREAL BAGUETTE,2,1.25
151107,2021-01-09,12:05,BOULE 200G,1,1.10
151107,2021-01-09,12:05,BANETTE,1,1.05
151107,2021-01-09,12:05,COUPE,1,0.15
151109,2021-01-09,12:08,CAMPAGNE,1,1.80
151109,2021-01-09,12:08,TRADITIONAL BAGUETTE,1,1.20
151109,2021-01-09,12:08,COUPE,1,0.15
151110,2021-01-09,12:09,COUPE,1,0.15
151110,2021-01-09,12:09,MOISSON,1,2.00
151111,2021-01-09,12:10,TRADITIONAL BAGUETTE,2,1.20
151112,2021-01-09,12:11,BRIOCHE,1,5.00
151112,2021-01-09,12:11,TRADITIONAL BAGUETTE,1,1.20
151113,2021-01-09,12:12,SEIGLE,1,1.80
151114,2021-01-09,12:13,GAL POIRE CHOCO 6P,1,12.00
151116,2021-01-09,12:16,TRADITIONAL BAGUETTE,3,1.20
151119,2021-01-09,12:19,COMPLET,1,1.50
151119,2021-01-09,12:19,TRADITIONAL BAGUETTE,1,1.20
151120,2021-01-09,12:21,GAL POIRE CHOCO 4P,1,8.00
151121,2021-01-09,12:21,TRADITIONAL BAGUETTE,2,1.20
151122,2021-01-09,12:22,TRADITIONAL BAGUETTE,1,1.20
151122,2021-01-09,12:22,PAIN,1,1.15
151123,2021-01-09,12:26,GAL POMME 4P,1,8.00
151125,2021-01-09,12:27,COUPE,1,0.15
151125,2021-01-09,12:27,GAL FRANGIPANE 4P,1,8.00
151126,2021-01-09,12:28,TRADITIONAL BAGUETTE,1,1.20
151127,2021-01-09,12:28,TRADITIONAL BAGUETTE,1,1.20
151129,2021-01-09,12:32,PAIN AU CHOCOLAT,1,1.20
151130,2021-01-09,12:34,BOULE 400G,1,1.50
151132,2021-01-09,12:36,GAL FRANGIPANE 4P,1,8.00
151132,2021-01-09,12:36,TRADITIONAL BAGUETTE,1,1.20
151133,2021-01-09,12:37,BANETTINE,1,0.60
151138,2021-01-09,12:48,SPECIAL BREAD,1,2.40
151139,2021-01-09,12:48,TRADITIONAL BAGUETTE,1,1.20
151140,2021-01-09,12:50,COUPE,1,0.15
151141,2021-01-09,12:53,COOKIE,1,1.00
151141,2021-01-09,12:53,VIK BREAD,1,2.50
151143,2021-01-09,12:56,TRADITIONAL BAGUETTE,1,1.20
151144,2021-01-09,12:56,TRADITIONAL BAGUETTE,1,1.20
151145,2021-01-09,12:57,GRAND FAR BRETON,1,7.00
151145,2021-01-09,12:57,TRADITIONAL BAGUETTE,2,1.20
151146,2021-01-09,12:59,GAL POIRE CHOCO 4P,1,8.00
151148,2021-01-09,13:00,BANETTE,2,1.05
151151,2021-01-09,13:04,TRADITIONAL BAGUETTE,1,1.20
151155,2021-01-09,13:11,COUPE,1,0.15
151155,2021-01-09,13:11,PAIN BANETTE,3,1.40
151157,2021-01-09,13:13,BAGUETTE,2,0.90
151158,2021-01-09,13:14,BAGUETTE,1,0.90
151159,2021-01-09,13:15,CEREAL BAGUETTE,2,1.25
151160,2021-01-09,13:15,TRADITIONAL BAGUETTE,2,1.20
151163,2021-01-09,13:23,FORMULE SANDWICH,3,6.50
151167,2021-01-09,13:28,TRADITIONAL BAGUETTE,1,1.20
151175,2021-01-09,13:40,FICELLE,1,0.60
151176,2021-01-09,13:41,BANETTE,1,1.05
151176,2021-01-09,13:41,BAGUETTE,1,0.90
151178,2021-01-09,13:53,FORMULE SANDWICH,1,6.50
151180,2021-01-09,13:54,TRADITIONAL BAGUETTE,1,1.20
151184,2021-01-09,17:43,TRADITIONAL BAGUETTE,1,1.20
151186,2021-01-09,17:51,BAGUETTE,1,0.90
151186,2021-01-09,17:51,GAL FRANGIPANE 6P,1,12.00
151187,2021-01-09,17:53,KOUIGN AMANN,1,2.10
151187,2021-01-09,17:53,TRADITIONAL BAGUETTE,2,1.20
151188,2021-01-09,17:58,TRADITIONAL BAGUETTE,1,1.20
151189,2021-01-09,18:04,GAL POMME 4P,1,8.00
151191,2021-01-09,18:08,TRADITIONAL BAGUETTE,1,1.20
151191,2021-01-09,18:08,BANETTE,1,1.05
151192,2021-01-09,18:09,BANETTE,1,1.05
151193,2021-01-09,18:10,TRADITIONAL BAGUETTE,3,1.20
151194,2021-01-09,18:23,TRADITIONAL BAGUETTE,2,1.20
151195,2021-01-09,18:24,TRADITIONAL BAGUETTE,1,1.20
151195,2021-01-09,18:24,GAL FRANGIPANE 6P,1,12.00
151196,2021-01-09,18:37,COUPE,1,0.15
151197,2021-01-09,18:38,PAIN AU CHOCOLAT,2,1.20
151199,2021-01-09,18:43,BANETTE,1,1.05
151199,2021-01-09,18:43,TRADITIONAL BAGUETTE,1,1.20
151200,2021-01-09,18:52,QUIM BREAD,2,1.00
151200,2021-01-09,18:52,PAIN BANETTE,2,1.40
151201,2021-01-09,18:58,CAFE OU EAU,1,1.00
151202,2021-01-09,19:00,GAL POMME 6P,1,12.00
151203,2021-01-09,19:05,COUPE,1,0.15
151204,2021-01-09,19:08,BANETTE,1,1.05
151206,2021-01-09,19:54,BANETTE,2,1.05
151209,2021-01-10,8:31,CROISSANT,2,1.10
151209,2021-01-10,8:31,BAGUETTE,1,0.90
151211,2021-01-10,8:54,TRADITIONAL BAGUETTE,1,1.20
151212,2021-01-10,9:02,PAIN AU CHOCOLAT,5,1.20
151212,2021-01-10,9:02,CROISSANT,5,1.10
151213,2021-01-10,9:03,DEMI BAGUETTE,1,0.45
151213,2021-01-10,9:03,DIVERS BOULANGERIE,1,1.00
151214,2021-01-10,9:06,BAGUETTE,2,0.90
151215,2021-01-10,9:07,CROISSANT,4,1.10
151215,2021-01-10,9:07,COUPE,1,0.15
151221,2021-01-10,9:35,BANETTINE,1,0.60
151221,2021-01-10,9:35,FICELLE,1,0.60
151223,2021-01-10,9:54,DIVERS VIENNOISERIE,1,4.00
151223,2021-01-10,9:54,COUPE,1,0.15
151223,2021-01-10,9:54,VIK BREAD,1,2.50
151225,2021-01-10,9:57,PAIN AU CHOCOLAT,2,1.20
151227,2021-01-10,10:03,NANTAIS,2,2.50
151228,2021-01-10,10:07,GAL POMME 4P,1,8.00
151231,2021-01-10,10:18,TRADITIONAL BAGUETTE,2,1.20
151232,2021-01-10,10:19,CROISSANT,2,1.10
151235,2021-01-10,10:30,TRADITIONAL BAGUETTE,3,1.20
151236,2021-01-10,10:31,BAGUETTE,1,0.90
151237,2021-01-10,10:32,TRADITIONAL BAGUETTE,1,1.20
151238,2021-01-10,10:33,BAGUETTE,4,0.90
151239,2021-01-10,10:34,TRADITIONAL BAGUETTE,3,1.20
151240,2021-01-10,10:36,PAIN AU CHOCOLAT,1,1.20
151241,2021-01-10,10:38,CROISSANT,3,1.10
151243,2021-01-10,10:44,BAGUETTE,1,0.90
151243,2021-01-10,10:44,GAL POMME 6P,1,12.00
151247,2021-01-10,10:50,TRADITIONAL BAGUETTE,1,1.20
151250,2021-01-10,10:55,GAL FRANGIPANE 6P,1,12.00
151251,2021-01-10,10:57,GAL FRANGIPANE 6P,1,12.00
151252,2021-01-10,10:58,QUIM BREAD,2,1.00
151253,2021-01-10,11:00,BANETTE,1,1.05
151257,2021-01-10,11:05,MOISSON,1,2.00
151259,2021-01-10,11:06,TRADITIONAL BAGUETTE,5,1.20
151260,2021-01-10,11:10,DIVERS VIENNOISERIE,1,4.00
151260,2021-01-10,11:10,BANETTE,1,1.05
151262,2021-01-10,11:12,TRADITIONAL BAGUETTE,1,1.20
151265,2021-01-10,11:25,DIVERS VIENNOISERIE,2,6.00
151265,2021-01-10,11:25,GAL FRANGIPANE 4P,1,8.00
151266,2021-01-10,11:26,BANETTINE,1,0.60
151267,2021-01-10,11:29,CROISSANT,3,1.10
151267,2021-01-10,11:29,PAIN AU CHOCOLAT,1,1.20
151268,2021-01-10,11:31,PAIN AU CHOCOLAT,2,1.20
151268,2021-01-10,11:31,TRADITIONAL BAGUETTE,3,1.20
151270,2021-01-10,11:34,GAL POIRE CHOCO 4P,1,8.00
151271,2021-01-10,11:38,COUPE,1,0.15
151273,2021-01-10,11:39,TRADITIONAL BAGUETTE,3,1.20
151279,2021-01-10,11:43,VIK BREAD,1,2.50
151281,2021-01-10,11:43,VIK BREAD,1,2.50
